iter	Passed	Remaining
1070	30352	253049
1071	30382	253035
1072	30409	252994
1073	30437	252965
1074	30467	252949
1075	30497	252938
1076	30525	252907
1077	30556	252900
1078	30594	252947
1079	30623	252928
1080	30653	252909
1081	30682	252889
1082	30709	252853
1083	30739	252838
1084	30768	252813
1085	30797	252790
1086	30825	252759
1087	30859	252777
1088	30888	252755
1089	30917	252731
1090	30947	252714
1091	30976	252687
1092	31005	252663
1093	31034	252643
1094	31062	252612
1095	31100	252659
1096	31127	252626
1097	31157	252606
1098	31186	252581
1099	31215	252562
1100	31244	252535
1101	31273	252513
1102	31303	252497
1103	31333	252481
1104	31368	252510
1105	31398	252491
1106	31426	252464
1107	31455	252440
1108	31484	252417
1109	31514	252398
1110	31544	252380
1111	31573	252360
1112	31607	252375
1113	31636	252353
1114	31664	252320
1115	31692	252293
1116	31722	252272
1117	31749	252237
1118	31779	252217
1119	31808	252197
1120	31837	252170
1121	31870	252178
1122	31899	252153
1123	31925	252110
1124	31954	252081
1125	31983	252059
1126	32011	252031
1127	32040	252003
1128	32068	251977
1129	32096	251941
1130	32129	251952
1131	32157	251920
1132	32186	251893
1133	32215	251867
1134	32244	251844
1135	32273	251822
1136	32300	251787
1137	32329	251763
1138	32359	251741
1139	32397	251788
1140	32426	251767
1141	32455	251745
1142	32486	251731
1143	32515	251712
1144	32545	251692
1145	32574	251670
1146	32603	251647
1147	32639	251675
1148	32670	251664
1149	32698	251639
1150	32728	251621
1151	32757	251599
1152	32787	251579
1153	32817	251559
1154	32846	251540
1155	32879	251543
1156	32909	251530
1157	32937	251497
1158	32966	251470
1159	32995	251446
1160	33023	251413
1161	33051	251387
1162	33081	251370
1163	33111	251352
1164	33149	251393
1165	33178	251374
1166	33207	251349
1167	33237	251331
1168	33267	251311
1169	33296	251286
1170	33323	251253
1171	33353	251233
1172	33382	251210
1173	33415	251213
1174	33443	251184
1175	33472	251159
1176	33503	251147
1177	33506	250926
1178	33536	250912
1179	33564	250877
1180	33594	250865
1181	33624	250843
1182	33660	250874
1183	33690	250861
1184	33719	250835
1185	33748	250805
1186	33777	250785
1187	33805	250755
1188	33835	250735
1189	33864	250712
1190	33893	250683
1191	33926	250692
1192	33956	250675
1193	33984	250639
1194	34013	250621
1195	34042	250595
1196	34071	250567
1197	34101	250550
1198	34132	250541
1199	34171	250591
1200	34198	250553
1201	34228	250533
1202	34257	250511
1203	34287	250491
1204	34317	250472
1205	34346	250451
1206	34376	250430
1207	34407	250426
1208	34436	250401
1209	34466	250380
1210	34496	250362
1211	34524	250327
1212	34553	250304
1213	34583	250286
1214	34610	250251
1215	34639	250224
1216	34672	250229
1217	34702	250208
1218	34731	250183
1219	34760	250161
1220	34788	250130
1221	34816	250100
1222	34845	250074
1223	34872	250036
1224	34900	250003
1225	34933	250007
1226	34962	249983
1227	34992	249960
1228	35019	249926
1229	35048	249900
1230	35078	249879
1231	35106	249846
1232	35109	249635
1233	35138	249613
1234	35167	249592
1235	35206	249635
1236	35236	249615
1237	35263	249577
1238	35293	249559
1239	35323	249540
1240	35351	249510
1241	35379	249478
1242	35408	249455
1243	35444	249479
1244	35473	249456
1245	35501	249419
1246	35529	249390
1247	35558	249366
1248	35587	249340
1249	35617	249319
1250	35644	249283
1251	35672	249248
1252	35708	249275
1253	35737	249250
1254	35767	249229
1255	35796	249206
1256	35825	249182
1257	35854	249158
1258	35883	249134
1259	35913	249112
1260	35941	249080
1261	35970	249060
1262	35999	249034
1263	36028	249007
1264	36058	248987
1265	36086	248959
1266	36113	248920
1267	36141	248887
1268	36170	248864
1269	36200	248841
1270	36229	248818
1271	36257	248783
